X1;n_eff;Rhat;mean;mcse;sd;2.5%;25%;50%;75%;97.5%
beta[28,3];558;1.0064;0.1017;0.0003;0.0067;0.0887;0.0973;0.1016;0.1062;0.1148
beta[28,4];773;1.0055;0.1311;0.0003;0.0079;0.1155;0.1258;0.1311;0.1366;0.1467
beta[29,1];552;1.0057;0.6436;0.0009;0.0211;0.6032;0.6291;0.6435;0.6579;0.6851
beta[29,2];1;256;1.0041;0.1266;0.0002;0.0085;0.1094;0.1209;0.1268;0.1322;0.1431
beta[29,3];287;1.0089;0.1004;0.0004;0.0071;0.087;0.0956;0.0999;0.1053;0.1145
beta[29,4];488;1.0063;0.1294;0.0004;0.0082;0.1134;0.1239;0.1291;0.1351;0.1452
beta[30,1];499;1.0088;0.6494;0.0009;0.0199;0.6119;0.6358;0.6497;0.6629;0.6887
beta[30,2];1;977;1.0034;0.1244;0.0002;0.0081;0.1084;0.1191;0.1248;0.1295;0.14
beta[30,3];303;1.0108;0.0988;0.0004;0.0067;0.0861;0.0943;0.0985;0.1033;0.1114
beta[30,4];339;1.0119;0.1274;0.0004;0.0079;0.1121;0.1219;0.1271;0.1328;0.1424
beta[31,1];891;1.0018;0.6546;0.0005;0.0161;0.6235;0.6439;0.6542;0.6658;0.686
beta[31,2];912;1.0013;0.123;0.0002;0.0072;0.1091;0.1179;0.1228;0.128;0.1371
beta[31,3];439;1.0046;0.0977;0.0003;0.0059;0.086;0.0936;0.0975;0.1019;0.1093
beta[31,4];641;1.0037;0.1248;0.0003;0.0067;0.1117;0.1199;0.1248;0.1296;0.1379
beta[32,1];993;1.0058;0.6535;0.0006;0.019;0.6163;0.6403;0.6531;0.6667;0.6913
beta[32,2];1;286;1.0028;0.123;0.0002;0.008;0.1073;0.1175;0.1227;0.1283;0.1395
beta[32,3];555;1.0073;0.0974;0.0003;0.0066;0.0845;0.0931;0.0972;0.1018;0.1102
beta[32,4];459;1.0086;0.1261;0.0004;0.0077;0.1113;0.1207;0.1262;0.1315;0.141
beta[33,1];468;1.0076;0.6529;0.0009;0.0202;0.6146;0.6381;0.6524;0.6672;0.6923
beta[33,2];843;1.0037;0.1233;0.0003;0.0083;0.1071;0.1177;0.1233;0.1289;0.1399
beta[33,3];363;1.0091;0.0975;0.0004;0.0068;0.0841;0.093;0.0973;0.1021;0.1107
beta[33,4];322;1.0095;0.1263;0.0005;0.0081;0.1109;0.1205;0.1263;0.1321;0.1415
beta[34,1];293;1.0112;0.6529;0.0012;0.0201;0.6164;0.6389;0.6529;0.6665;0.6915
beta[34,2];600;1.0058;0.1235;0.0003;0.0082;0.1079;0.1177;0.1237;0.1291;0.1394
beta[34,3];281;1.0116;0.0973;0.0004;0.0068;0.0845;0.0928;0.0969;0.1015;0.1109
beta[34,4];214;1.0118;0.1263;0.0006;0.0082;0.1112;0.1208;0.1262;0.1319;0.1414
beta[35,1];380;1.003;0.6533;0.0009;0.0175;0.62;0.642;0.6527;0.6655;0.6864
beta[35,2];403;1.0022;0.1235;0.0004;0.0075;0.1098;0.1184;0.1233;0.1288;0.1382
beta[35,3];758;1.0057;0.0969;0.0002;0.006;0.0854;0.0927;0.0969;0.1011;0.1087
beta[35,4];244;1.0031;0.1262;0.0005;0.0073;0.1125;0.1213;0.1261;0.1311;0.1416
beta[36,1];166;1.0199;0.6551;0.0009;0.0113;0.634;0.648;0.6545;0.6614;0.6846
beta[36,2];238;1.0115;0.1238;0.0004;0.0056;0.1118;0.1204;0.1238;0.1275;0.1349
beta[36,3];397;1.0146;0.0965;0.0002;0.0046;0.0879;0.0931;0.0964;0.0998;0.1057
beta[36,4];175;1.0092;0.1246;0.0004;0.0056;0.111;0.1211;0.1249;0.1283;0.1348
beta[37,1];238;1.0132;0.6417;0.0009;0.0146;0.6137;0.6319;0.6411;0.6512;0.673
beta[37,2];292;1.0107;0.1281;0.0004;0.0066;0.1146;0.1237;0.1285;0.1324;0.1413
beta[37,3];414;1.0116;0.0997;0.0003;0.0054;0.0897;0.0959;0.0994;0.1034;0.1104
beta[37,4];205;1.0068;0.1305;0.0005;0.0065;0.1159;0.1263;0.1306;0.1347;0.1428
beta[38,1];495;1.0018;0.6201;0.0004;0.0099;0.6018;0.6129;0.6201;0.6269;0.6399
beta[38,2];1;903;1.0028;0.1359;0.0001;0.0055;0.1251;0.1323;0.136;0.1395;0.1467
beta[38,3];629;1.0026;0.1038;0.0002;0.0048;0.0942;0.1006;0.1037;0.107;0.1131
beta[38,4];337;1.002;0.1402;0.0003;0.0054;0.1302;0.1363;0.1401;0.1439;0.1507
beta[39,1];5;008;1.0011;0.6524;0.0003;0.0214;0.6099;0.6389;0.6518;0.6667;0.6949
beta[39,2];2;584;1.0046;0.1221;0.0003;0.015;0.0945;0.1121;0.1211;0.1317;0.1538
beta[39,3];2;058;1.0012;0.0908;0.0003;0.0131;0.0669;0.0814;0.0902;0.0993;0.1185
beta[39,4];545;1.0063;0.1347;0.0007;0.0157;0.1045;0.1239;0.1347;0.1445;0.1658
